tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c051,coarse,0.02,1.2e-08,0.12,0.0,0.0,9.5e-10,1.1668522659663745,1.1459074259580715,1.7869555583860066,0.9696814112706598,0.08377936003321214,1.482707840974249e-06,0.1289170005652338,ok
fit_c035,coarse,0.025,1.2e-08,0.12,0.0,0.0,9.000000000000001e-10,1.1830538787851377,1.1428401233276873,1.795444565394381,0.9548239945303809,0.16085502182980177,1.5092357540323427e-06,0.18434974117498695,ok
fit_c039,coarse,0.03,1.2e-08,0.12,0.0,0.0,9.000000000000001e-10,1.1846789838369551,1.0869773589382343,1.7164977060324433,0.8965779027708071,0.390806499594883,2.586836235037537e-06,0.42080485587542227,ok
fit_c067,coarse,0.015,1.2e-08,0.12,0.0,0.0,1.05e-09,1.1883776369807442,1.1078719517164277,1.7020748468274347,0.9537903205086671,0.3220227410572654,2.602551276937209e-06,0.3476080836900329,ok
fit_l112,local,0.012,2e-08,0.02,0.0,0.0,9.024999999999999e-10,1.1977622609798895,1.073234482143591,1.6892849604210471,0.8746229247431231,0.49811111534519326,3.5676262538469294e-06,0.5128906669154407,ok
fit_l123,local,0.015,1.6e-08,-0.02,-2e-09,-1e-09,9.024999999999999e-10,1.2016932906267415,1.112733119246279,1.8053679401238831,0.8689719550197718,0.3558406855218495,2.6494753087547025e-06,0.37775795889873554,ok
fit_c002,coarse,0.01,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,1.2083997901021812,1.0914812438103485,1.6863643401303785,0.92153728652606,0.4676741851673308,3.413190654740233e-06,0.47867985475931274,ok
fit_l121,local,0.015,1.6e-08,-0.02,-2e-09,0.0,9.024999999999999e-10,1.2339001723346694,1.1495045217135016,1.8640008766652165,0.9002237344839266,0.33758260248467115,2.5553663162160624e-06,0.3582841119790935,ok
fit_c031,coarse,0.02,1.2e-08,0.12,0.0,0.0,9.000000000000001e-10,1.2339757600255077,1.2147523564121112,1.8921315556093956,1.0299203608975818,0.07689361445358603,1.5246796280527852e-06,0.12802154117118328,ok
fit_c015,coarse,0.025,1.2e-08,0.12,0.0,0.0,8.500000000000001e-10,1.2552338237372442,1.2120577022937542,1.900736026512683,1.0157096081690302,0.17270448577396014,1.6076126301202087e-06,0.20025169333320333,ok
fit_c019,coarse,0.03,1.2e-08,0.12,0.0,0.0,8.500000000000001e-10,1.25709474346342,1.1558952234682605,1.8217914110838158,0.9569195196202721,0.40479807998063866,2.688633777481683e-06,0.4401637541549899,ok
fit_l095,local,0.012,1.2e-08,0.0,-2e-09,-1e-09,9.024999999999999e-10,1.262362531704108,1.1580610463948904,1.8535363891796455,0.9255507285429264,0.41720594123687044,3.0602904844004246e-06,0.4351926493070041,ok
fit_c011,coarse,0.02,1.2e-08,0.12,0.0,0.0,8.500000000000001e-10,1.3016010125542772,1.2841075993199766,1.9974174429558902,1.09117049022049,0.06997365293720247,1.5689007724988064e-06,0.12702658628890487,ok
fit_l093,local,0.012,1.2e-08,0.0,-2e-09,0.0,9.024999999999999e-10,1.3048210169365309,1.2043236516061488,1.9265789200594101,0.9654441004109451,0.4019894613215276,2.9860868663950618e-06,0.41835040332244877,ok
fit_l087,local,0.012,1.6e-08,-0.02,-2e-09,-1e-09,9.024999999999999e-10,1.3115325456322164,1.190388233373731,1.9021468208230474,0.9492134563891895,0.4845772490339418,3.481442939778857e-06,0.5021668931049621,ok
fit_c047,coarse,0.015,1.2e-08,0.12,0.0,0.0,9.5e-10,1.3212551019796137,1.243471197406781,1.911630443249743,1.0712743128336435,0.3111356182913314,2.6121010327736023e-06,0.34651363331952667,ok
